Pay Item,Description,Quantity,Unit,Unit Price,Bid Date,Bidder Name,ProjectID,Job Size,Job Desc,County,Region,Pos,Extension,Bidder2Name,Bidder3Name,Bidder2Total,Bidder3Total,JobFederalID,PopulationArea,StateID,DistrictIDs,DistrictNames
105-06845,CONSTRUCTION ENGINEERING,1.0,L.S.,10300.0,04/08/2026,FORCE CONSTRUCTION CO INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,1,10300.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
105-06845,CONSTRUCTION ENGINEERING,1.0,L.S.,9347.5,04/08/2026,DAVE O'MARA CONTRACTOR INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,2,9347.5,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
105-06845,CONSTRUCTION ENGINEERING,1.0,L.S.,29000.0,04/08/2026,MILESTONE CONTRACTORS LP,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,3,29000.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
105-06845,CONSTRUCTION ENGINEERING,1.0,L.S.,18139.16,04/08/2026,SUNESIS CONSTRUCTION CO.,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,4,18139.16,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
105-06845,CONSTRUCTION ENGINEERING,1.0,L.S.,20000.0,04/08/2026,"AMERICAN CONTRACTING & SERVICES, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,5,20000.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
105-06845,CONSTRUCTION ENGINEERING,1.0,L.S.,40000.0,04/08/2026,E & B PAVING LLC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,6,40000.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
105-06845,CONSTRUCTION ENGINEERING,1.0,L.S.,35000.0,04/08/2026,"RAGLE, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,7,35000.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,04/08/2026,FORCE CONSTRUCTION CO INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,1,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,04/08/2026,DAVE O'MARA CONTRACTOR INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,2,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,04/08/2026,MILESTONE CONTRACTORS LP,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,3,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,04/08/2026,SUNESIS CONSTRUCTION CO.,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,4,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,04/08/2026,"AMERICAN CONTRACTING & SERVICES, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,5,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,04/08/2026,E & B PAVING LLC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,6,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,04/08/2026,"RAGLE, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,7,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08360,CONTRACT LIENS,1.0,$,1.0,04/08/2026,FORCE CONSTRUCTION CO INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,1,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08360,CONTRACT LIENS,1.0,$,1.0,04/08/2026,DAVE O'MARA CONTRACTOR INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,2,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08360,CONTRACT LIENS,1.0,$,1.0,04/08/2026,MILESTONE CONTRACTORS LP,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,3,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08360,CONTRACT LIENS,1.0,$,1.0,04/08/2026,SUNESIS CONSTRUCTION CO.,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,4,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08360,CONTRACT LIENS,1.0,$,1.0,04/08/2026,"AMERICAN CONTRACTING & SERVICES, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,5,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08360,CONTRACT LIENS,1.0,$,1.0,04/08/2026,E & B PAVING LLC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,6,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08360,CONTRACT LIENS,1.0,$,1.0,04/08/2026,"RAGLE, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,7,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,04/08/2026,FORCE CONSTRUCTION CO INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,1,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,04/08/2026,DAVE O'MARA CONTRACTOR INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,2,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,04/08/2026,MILESTONE CONTRACTORS LP,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,3,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,04/08/2026,SUNESIS CONSTRUCTION CO.,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,4,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,04/08/2026,"AMERICAN CONTRACTING & SERVICES, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,5,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,04/08/2026,E & B PAVING LLC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,6,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,04/08/2026,"RAGLE, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,7,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,04/08/2026,FORCE CONSTRUCTION CO INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,1,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,04/08/2026,DAVE O'MARA CONTRACTOR INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,2,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,04/08/2026,MILESTONE CONTRACTORS LP,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,3,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,04/08/2026,SUNESIS CONSTRUCTION CO.,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,4,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,04/08/2026,"AMERICAN CONTRACTING & SERVICES, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,5,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,04/08/2026,E & B PAVING LLC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,6,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,04/08/2026,"RAGLE, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,7,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,04/08/2026,FORCE CONSTRUCTION CO INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,1,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,04/08/2026,DAVE O'MARA CONTRACTOR INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,2,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,04/08/2026,MILESTONE CONTRACTORS LP,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,3,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,04/08/2026,SUNESIS CONSTRUCTION CO.,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,4,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,04/08/2026,"AMERICAN CONTRACTING & SERVICES, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,5,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,04/08/2026,E & B PAVING LLC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,6,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,04/08/2026,"RAGLE, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,7,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,04/08/2026,FORCE CONSTRUCTION CO INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,1,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,04/08/2026,DAVE O'MARA CONTRACTOR INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,2,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,04/08/2026,MILESTONE CONTRACTORS LP,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,3,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,04/08/2026,SUNESIS CONSTRUCTION CO.,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,4,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,04/08/2026,"AMERICAN CONTRACTING & SERVICES, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,5,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,04/08/2026,E & B PAVING LLC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,6,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,04/08/2026,"RAGLE, INC.",B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,7,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-11362,"QUALITY ADJUSTMENTS, FAILURE TO MAINTAIN TEMPORARY EROSION AND SEDIMENT CONTROL MEASURES",1.0,$,1.0,04/08/2026,FORCE CONSTRUCTION CO INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,1,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-11362,"QUALITY ADJUSTMENTS, FAILURE TO MAINTAIN TEMPORARY EROSION AND SEDIMENT CONTROL MEASURES",1.0,$,1.0,04/08/2026,DAVE O'MARA CONTRACTOR INC,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,2,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
109-11362,"QUALITY ADJUSTMENTS, FAILURE TO MAINTAIN TEMPORARY EROSION AND SEDIMENT CONTROL MEASURES",1.0,$,1.0,04/08/2026,MILESTONE CONTRACTORS LP,B -40891-A,1431388.9,BRIDGE REPLACEMENT,JACKSON,5,3,1.0,DAVE O'MARA CONTRACTOR INC,MILESTONE CONTRACTORS LP,1438800.0,1480799.0,1703018,,IN,5,SEYMOUR
